,method,proportion,method_type,split,group,label
58,,0.8009011433190485,known,use,past_user,Implants
59,,0.8511406738988698,known,use,past_user,Injectables
60,,0.0,known,use,past_user,Je ne sais pas
61,,0.0,known,use,past_user,Je préfère ne pas répondre
62,,0.0016996821336221824,known,use,past_user,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
63,,0.13063217077335648,known,use,past_user,Méthode des jours fixes (collier de perles)
64,,0.025686275659871936,known,use,past_user,Méthode du calendrier (aussi appelée “méthode Ogino”)
65,,0.00760058748054413,known,use,past_user,"Méthodes de barrière vaginale (y compris le diaphragme, la cape cervicale et les agents spermicides)"
66,,0.006467582353260138,known,use,past_user,Patch contraceptif
67,,0.04331387770167911,known,use,past_user,Pilules contraceptives d'urgence
68,,0.5754296770410754,known,use,past_user,Pilules contraceptives orales
