,label,split,group,weighted_agreement,agree_n,agree_pct,agree_weighted_n,disagree_n,disagree_pct,disagree_weighted_n,total_n,total_weighted_n
409,Les contraceptifs rendent les femmes fatiguées en permanence.,age_group,16-20,0.46464755016149645,6.0,0.8571428571428571,23987.244240274267,1.0,0.14285714285714285,1779.4339671408804,22.0,47794.95827625621
410,Les contraceptifs rendent les femmes fatiguées en permanence.,age_group,21-30,0.5985408103442638,151.0,0.8988095238095238,202467.9934196354,17.0,0.10119047619047619,4107.57798066063,289.0,331406.6677005424
411,Les contraceptifs rendent les femmes fatiguées en permanence.,age_group,31-45,0.31841317727762536,199.0,0.8396624472573839,327387.8438406115,38.0,0.16033755274261605,106055.6680316628,386.0,695109.975351204
412,Les contraceptifs sont dangereux car ils peuvent perturber les règles mensuelles des femmes.,age_group,16-20,0.4760479428550345,8.0,0.7272727272727273,26196.872149476625,3.0,0.2727272727272727,3444.1805832226482,22.0,47794.95827625621
413,Les contraceptifs sont dangereux car ils peuvent perturber les règles mensuelles des femmes.,age_group,21-30,0.7925493689400718,200.0,0.9090909090909091,276274.5229471199,20.0,0.09090909090909091,13618.37759852293,289.0,331406.6677005424
414,Les contraceptifs sont dangereux car ils peuvent perturber les règles mensuelles des femmes.,age_group,31-45,0.4820297517001002,261.0,0.867109634551495,480977.62856605166,40.0,0.132890365448505,145913.93974324793,386.0,695109.975351204
415,Les contraceptifs “modernes” sont fiables.,age_group,16-20,0.4575447328451469,5.0,0.8333333333333334,23647.765382995472,1.0,0.16666666666666666,1779.4339671408804,22.0,47794.95827625621
416,Les contraceptifs “modernes” sont fiables.,age_group,21-30,0.003972104156713193,102.0,0.6496815286624203,78017.51953801837,55.0,0.3503184713375796,76701.1377356826,289.0,331406.6677005424
417,Les contraceptifs “modernes” sont fiables.,age_group,31-45,0.0988849754177343,155.0,0.5961538461538461,307959.0316548145,105.0,0.40384615384615385,239223.09882958874,386.0,695109.975351204
418,Les couples peuvent décider eux-mêmes de l'espacement entre les naissances de leurs enfants.,age_group,16-20,0.375803049693532,20.0,0.9523809523809523,32812.980421976885,1.0,0.047619047619047616,14851.489341784683,22.0,47794.95827625621
419,Les couples peuvent décider eux-mêmes de l'espacement entre les naissances de leurs enfants.,age_group,21-30,0.917979835348639,269.0,0.9781818181818182,307969.0433422071,6.0,0.02181818181818182,3744.405093022021,289.0,331406.6677005424
420,Les couples peuvent décider eux-mêmes de l'espacement entre les naissances de leurs enfants.,age_group,31-45,0.8964672707771734,357.0,0.9834710743801653,649605.4345603853,6.0,0.01652892561983471,26462.092067303012,386.0,695109.975351204
421,Les effets secondaires des contraceptifs sont gérables.,age_group,16-20,0.39748378383287014,6.0,0.6666666666666666,24024.68253139654,3.0,0.3333333333333333,5026.961667616066,22.0,47794.95827625621
422,Les effets secondaires des contraceptifs sont gérables.,age_group,21-30,-0.08202754330368595,105.0,0.6687898089171974,76548.64128490558,52.0,0.33121019108280253,103733.11607084206,289.0,331406.6677005424
423,Les effets secondaires des contraceptifs sont gérables.,age_group,31-45,0.003795749474813781,164.0,0.6721311475409836,283507.6429971395,80.0,0.32786885245901637,280869.1796732623,386.0,695109.975351204
424,"Les enfants naissent naturellement à des intervalles suffisants, sans contraception.",age_group,16-20,0.10320872392172725,12.0,0.75,20127.784019159793,4.0,0.25,15194.927365575193,22.0,47794.95827625621
425,"Les enfants naissent naturellement à des intervalles suffisants, sans contraception.",age_group,21-30,0.408970019263507,154.0,0.6497890295358649,212129.9309681304,83.0,0.350210970464135,76594.53969458483,289.0,331406.6677005424
426,"Les enfants naissent naturellement à des intervalles suffisants, sans contraception.",age_group,31-45,0.4052043012907944,210.0,0.7023411371237458,373237.8316162089,89.0,0.2976588628762542,91576.27973376303,386.0,695109.975351204
427,Les familles peuvent planifier les besoins de leurs enfants tout en continuant à faire confiance à Dieu.,age_group,16-20,0.3738615708928548,20.0,0.9523809523809523,32720.18752370428,1.0,0.047619047619047616,14851.489341784683,22.0,47794.95827625621
428,Les familles peuvent planifier les besoins de leurs enfants tout en continuant à faire confiance à Dieu.,age_group,21-30,0.8800373622595414,251.0,0.916058394160584,300090.0309888403,23.0,0.08394160583941605,8439.78131043064,289.0,331406.6677005424
429,Les familles peuvent planifier les besoins de leurs enfants tout en continuant à faire confiance à Dieu.,age_group,31-45,0.4291081229507327,341.0,0.9291553133514986,487873.3061269936,26.0,0.07084468664850137,189595.96935970837,386.0,695109.975351204
430,Les femmes qui utilisent des contraceptifs ne sont pas plus susceptibles de souffrir de complications lors de l'accouchement.,age_group,16-20,0.18813270852720937,4.0,0.5,17905.800297872847,4.0,0.5,8914.0053434158,22.0,47794.95827625621
431,Les femmes qui utilisent des contraceptifs ne sont pas plus susceptibles de souffrir de complications lors de l'accouchement.,age_group,21-30,0.07190174686161473,72.0,0.5625,87976.03678449526,56.0,0.4375,64147.3184552396,289.0,331406.6677005424
432,Les femmes qui utilisent des contraceptifs ne sont pas plus susceptibles de souffrir de complications lors de l'accouchement.,age_group,31-45,0.2671250415041071,79.0,0.5266666666666666,252210.4596879173,71.0,0.47333333333333333,66529.17867230806,386.0,695109.975351204
